"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.3228600633025e-11,1.25335459266926,0.13,0.061,1.11442080803039e-06,"Alpha cell","DNAH7"
3.33047222688974e-11,3.50880603518566,0.021,0.002,1.11697377545428e-06,"Alpha cell","LINC01470"
3.48088621971483e-11,1.68053948629393,0.069,0.023,1.16741962036796e-06,"Alpha cell","LINC00336"
3.53855204584248e-11,2.2170842551073,0.034,0.006,1.18675958513465e-06,"Alpha cell","NRSN1"
3.5521957603722e-11,1.65958440081141,0.071,0.024,1.19133541411363e-06,"Alpha cell","AC103876.1"
3.55633459242267e-11,2.04833222008002,0.045,0.011,1.19272349560672e-06,"Alpha cell","MSH4"
3.84174952421527e-11,1.90142147472166,0.049,0.013,1.28844595543132e-06,"Alpha cell","AP001528.2"
3.93478642957453e-11,1.27537263630052,0.09,0.035,1.3196486727507e-06,"Alpha cell","SCIN"
3.99839563798949e-11,3.06730013122869,0.04,0.009,1.34098192906892e-06,"Alpha cell","AC010320.4"
4.02449474221622e-11,4.61482638198037,0.016,0.001,1.34973504664448e-06,"Alpha cell","AP001970.1"
4.04171069630304e-11,4.48183351590384,0.016,0.001,1.35550893332612e-06,"Alpha cell","CDHR1"
4.05488028420044e-11,1.28411395926625,0.148,0.075,1.35992574971514e-06,"Alpha cell","ANKMY1"
4.11129801459623e-11,3.96072996233643,0.016,0.001,1.37884712813528e-06,"Alpha cell","MEOX1"
4.12887720163509e-11,4.07381486624424,0.016,0.001,1.38474283588438e-06,"Alpha cell","ADPGK-AS1"
4.14236054457719e-11,1.17944793192511,0.117,0.052,1.3892648794403e-06,"Alpha cell","TRANK1"
4.17770529816202e-11,1.79352696373353,0.046,0.011,1.40111880289758e-06,"Alpha cell","AL021453.1"
4.19175879256256e-11,3.41957005075188,0.02,0.001,1.40583206384963e-06,"Alpha cell","AC144836.1"
4.19932594623605e-11,3.3784140306989,0.02,0.001,1.40836993584865e-06,"Alpha cell","AL133163.2"
